latest_year,count,of_which_AVE_zero,percent_zero
2007,29988,672,2.2408963585434174
2009,21,NA,NA
2010,126,50,39.682539682539684
2013,380,89,23.42105263157895
2014,29988,12110,40.3828197945845
2015,59502,8162,13.71718597694195
2016,2,NA,NA
2017,147028,35043,23.834235655793453
2018,117552,20948,17.820198720566218
2019,268632,49490,18.422972691265375
2020,609338,121501,19.9398363469864
2021,5157847,1498900,29.06057508103672
